ind,key,docs,classification,class,category_map,real_cat,label,scores,real_final,pred_final
802,LocationManager_sendExtraCommand,"send extra command .this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",sink,LocationManager,geolocation,geolocation,geographical location,0.21731901168823242,geolocation,geolocation
811,AudioManager_getProperty,get property .audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.6035442352294922,audio,audio
812,Debug_startMethodTracing,"start method tracing .provides various debugging methods for android applications, including tracing and allocation counts",sink,Debug,files,log,media,0.15572719275951385,log,media
821,Virtualizer_setProperties,"set properties .an audio virtualizer is a general name for an effect to spatialize audio channels  the exact behavior of this effect is dependent on the number of audio input channels and the types and number of audio output channels of the device  for example, in the case of a stereo input and stereo headphone output, a stereo widening effect is used when this effect is turned on",sink,Virtualizer,audio,audio,audio information,0.24890398979187012,audio,audio
829,URLConnection_getLastModified,"get last modified .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network connection,0.14528286457061768,network,network
836,AccountManager_editProperties,"edit properties .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.3985593616962433,user account,user account
847,SQLiteDatabase_queryWithFactory,query with factory .exposes methods to manage a s q lite database,source,SQLiteDatabase,database,database,database information,0.4218290150165558,database,database
854,IsoDep_getTimeout,get timeout .provides access to iso dep  properties and input or output operations on a tag,source,IsoDep,nfc information,nfc information,file information,0.09178698062896729,nfc,files
862,AccountManager_hasFeatures,"has features .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.285831481218338,user account,user account
863,BluetoothHeadset_getConnectedDevices,get connected devices .public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,source,BluetoothHeadset,bluetooth,bluetooth,bluetooth,0.40946003794670105,bluetooth,bluetooth
864,NotificationManager_notify,notify .class to notify the user of events that happen   this is how you tell the user that something has happened in the background,sink,NotificationManager,log,notification,notification,0.47162407636642456,notification,notification
871,DatagramSocket_getChannel,get channel .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.31338173151016235,network,network
872,URLConnection_getDefaultUseCaches,"get default use caches .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.14042438566684723,network,network
874,SQLiteDatabase_setPageSize,set page size .exposes methods to manage a s q lite database,sink,SQLiteDatabase,no category,database,database,0.42685559391975403,database,database
880,NfcF_getSystemCode,get system code .provides access to nfc f  properties and input or output operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.35765182971954346,nfc,nfc
881,LocationManager_getLastKnownLocation,"get last known location .this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation,geolocation,geographical location,0.2092188149690628,geolocation,geolocation
888,URLConnection_getHeaderFieldDate,"get header field date .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.1439020335674286,network,media
890,URLConnection_setRequestProperty,"set request property .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",sink,URLConnection,no category,network connection,media,0.13460849225521088,network,media
892,DownloadManager_getMaxBytesOverMobile,"get max bytes over mobile .the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,no category,network connection,network connection,0.17934226989746094,network,network
896,AccountManager_getAccountsByTypeAndFeatures,"get accounts by type and features .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.4273020029067993,user account,user account
901,NfcAdapter_getDefaultAdapter,get default adapter .represents the local nfc adapter,source,NfcAdapter,nfc information,nfc information,nfc information,0.4771605432033539,nfc,nfc
908,AccountManager_get,"get .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.3083201050758362,user account,user account
909,URLConnection_getContentType,"get content type .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.14129354059696198,network,media
913,AudioManager_setMicrophoneMute,set microphone mute .audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.4714268147945404,audio,audio
917,NfcA_getMaxTransceiveLength,get max transceive length .provides access to nfc a  properties and input or output operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.42351239919662476,nfc,nfc
922,AudioTrack_getPositionNotificationPeriod,"get position notification period .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5702614784240723,audio,audio
923,WifiP2pManager_addLocalService,"add local service .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.3934738337993622,network,network
926,ServerSocket_setReuseAddress,"set reuse address .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category,network connection,network connection,0.41510069370269775,network,network
927,DatagramSocket_getReuseAddress,get reuse address .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network information,0.2952573895454407,network,network
932,URLConnection_getDate,"get date .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,calendar information,0.13485431671142578,network,calendar
933,NfcAdapter_enableForegroundDispatch,enable foreground dispatch .represents the local nfc adapter,sink,NfcAdapter,nfc communication,nfc communication,nfc information,0.2936078608036041,nfc,nfc
938,URLConnection_getHeaderField,"get header field .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.15038153529167175,network,media
940,ClassLoader_loadClass,"load class .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.5290166139602661,system settings,files
943,MediaRecorder_setOutputFile,set output file .used to record audio and video  the recording control is based on a simple state machine ,sink,MediaRecorder,files,files,media information,0.3850111961364746,files,media
945,DatagramSocket_getLocalPort,get local port .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.32049182057380676,network,network
954,CalendarView_getWeekDayTextAppearance,get week day text appearance .this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.8793550133705139,calendar,calendar
955,URLConnection_getRequestProperty,"get request property .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.15229786932468414,network,media
956,AudioTrack_getAudioSessionId,"get audio session id .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5526608228683472,audio,audio
961,SQLiteDatabase_getMaximumSize,get maximum size .exposes methods to manage a s q lite database,source,SQLiteDatabase,database,database,database,0.4358471930027008,database,database
964,WifiP2pManager_initialize,"initialize .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",source,WifiP2pManager,network information,network connection,network connection,0.45728498697280884,network,network
971,AccessibilityService_getRootInActiveWindow,"get root in active window .accessibility services should only be used to assist users with disabilities in using android devices and apps  they run in the background and receive callbacks by the system when accessibility events are fired  such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc  such a service can optionally request the capability for querying the content of the active window  development of an accessibility service requires extending this class and implementing its abstract methods",source,AccessibilityService,network information,network connection,media,0.17965659499168396,network,media
972,Calendar_getAvailableLocales,"get available locales . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.3215734362602234,calendar,calendar
973,NfcA_getSak,get sak .provides access to nfc a  properties and input or output operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.4058569669723511,nfc,nfc
974,TrafficStats_getTotalTxPackets,"get total tx packets .class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.6631444096565247,network,network
976,SSLContext_getInstance,get instance .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network connection,network information,0.2124042510986328,network,network
984,MediaMetadataRetriever_getEmbeddedPicture,get embedded picture .media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,source,MediaMetadataRetriever,no category,media,media information,0.3268761932849884,media,media
986,SpeechRecognizer_startListening,"start listening .this class provides access to the speech recognition service  this service allows access to the speech recognizer  do not instantiate this class directly, instead, call speech recognizer create speech recognizer, or speech recognizer create on device speech recognizer  this class's methods must be invoked only from the main application thread",sink,SpeechRecognizer,log,media,audio information,0.5623042583465576,media,audio
990,MifareUltralight_getTimeout,get timeout .provides access to mifare ultralight properties and input or output operations on a tag,source,MifareUltralight,nfc information,nfc information,media,0.11629674583673477,nfc,media
992,URLConnection_toString,"to string .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.1603146642446518,network,media
1000,AudioRecord_setNotificationMarkerPosition,"set notification marker position .the audio record class manages the audio resources for java applications to record audio from the audio input hardware of the platform  this is achieved by ""pulling""  the data from the audio record object  the application is responsible for polling the audio record object in time using one of the following three methods:  read, read or read  the choice of which method to use will be based on the audio data storage format that is the most convenient for the user of audio record",sink,AudioRecord,audio,audio,audio information,0.35441628098487854,audio,audio
1001,WifiP2pManager_setUpnpServiceResponseListener,"set upnp service response listener .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.5086402297019958,network,network
1004,TrafficStats_getThreadStatsTag,"get thread stats tag .class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.6219853162765503,network,network
1006,TrafficStats_getTotalRxBytes,"get total rx bytes .class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.6553441882133484,network,network
1010,CalendarView_getFirstDayOfWeek,get first day of week .this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.8757166862487793,calendar,calendar
1012,TrafficStats_getMobileRxBytes,"get mobile rx bytes .class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.6004691123962402,network,network
1013,AccountManager_confirmCredentials,"confirm credentials .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.30463525652885437,user account,user account
1014,HttpURLConnection_getHeaderFieldDate,get header field date .a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.534724235534668,network,network
1015,SQLiteProgram_bindAllArgsAsStrings,bind all args as strings .a base class for compiled s q lite programs,sink,SQLiteProgram,no category,database,media,0.11612649261951447,database,media
1022,QuickContactBadge_setMode,set mode .widget used to show an image with the standard quick contact badge and on click behavior,sink,QuickContactBadge,contact information,contact information,contact information,0.6265413761138916,contact information,contact information
1023,AudioTrack_getPlaybackHeadPosition,"get playback head position .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5821682810783386,audio,audio
1024,AudioTrack_getPlaybackRate,"get playback rate .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5605021119117737,audio,audio
1025,ClassLoader_getResource,"get resource .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.4588202238082886,system settings,files
1029,AudioTrack_getAudioFormat,"get audio format .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5408005714416504,audio,audio
1032,TrafficStats_getMobileTxPackets,"get mobile tx packets .class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.6043680310249329,network,network
1033,GregorianCalendar_getGregorianChange,"get gregorian change . icu's replacement for gregorian calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,GregorianCalendar,calendar information,calendar information,calendar information,0.34949156641960144,calendar,calendar
1034,DatagramSocket_setReuseAddress,set reuse address .this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network information,0.3056700825691223,network,network
1041,SQLiteDatabase_getPath,get path .exposes methods to manage a s q lite database,source,SQLiteDatabase,database,database,database information,0.43842869997024536,database,database
1043,URLConnection_getDoOutput,"get do output .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network connection,0.1364133208990097,network,network
1048,SSLParameters_getNeedClientAuth,"get need client auth .encapsulates parameters for an ssl or  tls connection  the parameters are the list of ciphersuites to be accepted in an ssl or  tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl or  tls handshaking, the server name indication , the algorithm constraints and whether ssl or  tls servers should request or require client authentication, etc",source,SSLParameters,network information,network connection,network connection,0.21182133257389069,network,network
1049,URLConnection_getAllowUserInteraction,"get allow user interaction .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.15121713280677795,network,media
1057,SSLEngine_wrap,"wrap .a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information,network connection,media,0.21423791348934174,network,media
1058,MediaMetadataRetriever_setDataSource,set data source .media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,sink,MediaMetadataRetriever,files,media,media,0.26764076948165894,media,media
1059,WebSettings_getDomStorageEnabled,"get dom storage enabled .manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,system settings,system settings,media,0.1699034869670868,system settings,media
1061,AudioManager_getStreamVolume,get stream volume .audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5968168377876282,audio,audio
1063,WifiP2pManager_discoverServices,"discover services .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.39240527153015137,network,network
1064,URLConnection_getFileNameMap,"get file name map .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,file information,0.33753180503845215,network,files
1065,SSLEngine_getPeerHost,"get peer host .a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information,network connection,network information,0.19953764975070953,network,network
1069,TrafficStats_getMobileRxPackets,"get mobile rx packets .class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.5788084864616394,network,network
1075,URLConnection_getHeaderFieldKey,"get header field key .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.1332727074623108,network,media
1076,WebSettings_getDatabaseEnabled,"get database enabled .manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,system settings,system settings,database information,0.40749257802963257,system settings,database
1078,UiModeManager_setNightMode,set night mode .this class provides access to the system uimode services   these services allow applications to control ui modes of the device  it provides functionality to disable the car mode and it gives access to the night mode settings,sink,UiModeManager,log,system settings,system settings,0.24132972955703735,system settings,system settings
1079,Equalizer_setBandLevel,set band level .an equalizer is used to alter the frequency response of a particular music source or of the main output mix,sink,Equalizer,audio,audio,audio information,0.45497509837150574,audio,audio
1080,SmsManager_sendTextMessage,"send text message .manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",sink,SmsManager,text message,system settings,text message,0.3948024809360504,system settings,text message
1089,WifiP2pManager_connect,"connect .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.4600840210914612,network,network
1093,AudioRecord_setPositionNotificationPeriod,"set position notification period .the audio record class manages the audio resources for java applications to record audio from the audio input hardware of the platform  this is achieved by ""pulling""  the data from the audio record object  the application is responsible for polling the audio record object in time using one of the following three methods:  read, read or read  the choice of which method to use will be based on the audio data storage format that is the most convenient for the user of audio record",sink,AudioRecord,audio,audio,audio information,0.40110769867897034,audio,audio
1094,SQLiteDatabase_setVersion,set version .exposes methods to manage a s q lite database,sink,SQLiteDatabase,no category,database,database,0.43422800302505493,database,database
1095,GregorianCalendar_getGreatestMinimum,get greatest minimum .gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,source,GregorianCalendar,calendar information,calendar information,calendar information,0.6842765808105469,calendar,calendar
1099,SQLiteDatabase_getPageSize,get page size .exposes methods to manage a s q lite database,source,SQLiteDatabase,database,database,database information,0.43664324283599854,database,database
1102,IsoDep_getHiLayerResponse,get hi layer response .provides access to iso dep  properties and input or output operations on a tag,source,IsoDep,nfc information,nfc communication,nfc communication,0.08774730563163757,nfc,nfc
1103,URLConnection_getHeaderFieldInt,"get header field int .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.13860918581485748,network,network
1109,CalendarView_setDate,set date .this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,sink,CalendarView,no category,calendar information,calendar information,0.9193563461303711,calendar,calendar
1110,MifareUltralight_getMaxTransceiveLength,get max transceive length .provides access to mifare ultralight properties and input or output operations on a tag,source,MifareUltralight,nfc information,nfc information,network connection,0.0974864512681961,nfc,network
1116,URLConnection_getUseCaches,"get use caches .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network connection,0.15724271535873413,network,network
1120,HttpURLConnection_getResponseMessage,get response message .a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.36110252141952515,network,network
1125,DownloadManager_getRecommendedMaxBytesOverMobile,"get recommended max bytes over mobile .the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,no category,network connection,network connection,0.181590735912323,network,network
1128,AccountManager_setAuthToken,"set auth token .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.3715282082557678,user account,user account
1130,IsoDep_transceive,transceive .provides access to iso dep  properties and input or output operations on a tag,source,IsoDep,nfc information,nfc information,network connection,0.1237618625164032,nfc,network
1131,URLConnection_getExpiration,"get expiration .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.12930430471897125,network,media
1133,AudioManager_isMusicActive,is music active .audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.3847658038139343,audio,audio
1134,CalendarView_getMaxDate,get max date .this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.9345552921295166,calendar,calendar
1135,HttpURLConnection_getResponseCode,get response code .a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.4170043170452118,network,network
1137,WifiP2pManager_cancelConnect,"cancel connect .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.41461560130119324,network,network
1138,DatagramSocket_setTrafficClass,set traffic class .this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network information,0.3099777400493622,network,network
1140,BluetoothHeadset_getConnectionState,get connection state .public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,source,BluetoothHeadset,bluetooth,bluetooth,bluetooth,0.42151546478271484,bluetooth,bluetooth
1147,AudioManager_setSpeakerphoneOn,set speakerphone on .audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.5922631621360779,audio,audio
1148,Log_wtf,wtf .api for sending log output,sink,Log,log,log,logging,0.4288381338119507,log,log
