keys,real,docs,classification
SimpleCursorAdapter_setViewImage,sink, Called by bindView to set the image for an ImageView but only if  there is no existing ViewBinder or if the existing ViewBinder cannot  handle binding to an ImageView.,sink
WebSettings_setSupportMultipleWindows,sink, Sets whether the WebView whether supports multiple windows.,sink
DecimalFormat_setMaximumIntegerDigits,sink, Sets the maximum number of digits allowed in the integer portion of a  number.,sink
ClassLoader_setClassAssertionStatus,sink,sets the desired affirmation status for the named top - level form in this stratum loader and any nested classes hold in in this.,sink
DecimalFormat_setGroupingUsed,sink, Set whether or not grouping will be used in this format.,sink
GregorianCalendar_setGregorianChange,sink,arrange the GregorianCalendar modification date.,sink
SurfaceView_setSecure,sink,"ascendence whether the aerofoil view ' s content should personify regale as secure, preventing it from appearing in screenshots or from cost viewed on non - secure display.",sink
ObjectAnimator_setPropertyName,sink,sets the name of the prop that bequeath be renovate.,sink
DataOutputStream_write,sink, Writes len bytes from the specified byte array  starting at offset off to the underlying output stream.,sink
AlarmManager_setInexactRepeating,sink,"schedule a repeating alarm that has inexact trigger time essential; for representative, an alarm that reiterate every minute, but non necessarily at the top of the inning of every hr.",sink
AudioTrack_setPlaybackHeadPosition,sink,sets the playback brain position within the static buffer.,sink
InputConnectionWrapper_performEditorAction,sink,have the editor program perform an action information technology have said information technology can do.,sink
ObjectOutputStream_writeChar,sink,write a sixteen bit char.,sink
DataOutputStream_writeDouble,sink,"converts the double argument to a longsighted use the doubleToLongBits method in course of instruction Stunt woman, and then writes that long value to the underlying output flow as an 8 - byte quantity, high pitched byte first.",sink
DataOutputStream_writeChar,sink," Writes a char to the underlying output stream as a  2-byte value, high byte first.",sink
WebSettings_setDisplayZoomControls,sink,sets whether the WebView should expose on - concealment rapid growth controls when practice the built - in zoom mechanisms.,sink
Socket_setSendBufferSize,sink, Sets the SO_SNDBUF option to the  specified value for this Socket.,sink
KeyStore_setEntry,sink,save a keystore Entry nether the specified assumed name.,sink
AutoCompleteTextView_setDropDownBackgroundResource,sink,fix the backdrop of the car - complete cliff - down list.,sink
PropertyValuesHolder_setKeyframes,sink, Set the animated values for this object to this set of Keyframes.,sink
MediaRecorder_setOutputFile,sink, Pass in the file object to be written.,sink
WifiP2pManager_connect,neither,start a p2p connexion to a gimmick with the specified constellation.,sink
Animator_setTarget,sink, Sets the target object whose property will be animated by this animation.,sink
Reader_read,source, Reads characters into a portion of an array.,sink
Writer_write,sink, Writes a portion of a string.,sink
Log_wtf,sink, What a Terrible Failure: Report an exception that should never happen.,sink
Element_setAttribute,sink, Adds a new attribute.,sink
PreferenceActivity_onPreferenceStartFragment,neither,called when the user has get through on a Preference that has a fragment form name associated with information technology.,sink
TextureView_setTransform,sink,sets the transform to associate with this grain view.,sink
WifiP2pManager_requestGroupInfo,sink,request p2p group information.,sink
SmsManager_sendDataMessage,sink, Send a data based SMS to a specific application port.,sink
AppWidgetManager_updateAppWidgetOptions,sink,update the extra for a give widget instance.,sink
ExpandableListActivity_setSelectedChild,sink, Sets the selection to the specified child.,sink
TextPaint_set,sink,"copy the field from tp into this TextPaint, including the fields inherit from Rouge.",sink
KeyChain_choosePrivateKeyAlias,sink,launches an Activeness for the user to choose the alias for a private key and credentials duad for hallmark.,sink
MediaRecorder_setOutputFile,sink, Pass in the file object to be written.,sink
SimpleCursorAdapter_setViewText,sink, Called by bindView to set the text for a TextView but only if  there is no existing ViewBinder or if the existing ViewBinder cannot  handle binding to a TextView.,sink
SipAudioCall_sendDtmf,sink, Sends a DTMF code.,sink
WallpaperManager_setBitmap,sink," Change the current system wallpaper to a bitmap, specifying a hint about  which subrectangle of the full image is to be visible.",sink
FileOutputStream_write,sink, Writes len bytes from the specified byte array  starting at offset off to this file output stream.,sink
SQLiteProgram_bindString,sink, Bind a String value to this statement.,sink
WebSettings_setSupportMultipleWindows,sink,sets whether the WebView whether support multiple window.,sink
DataOutputStream_writeChars,sink,write a cosmic string to the underlie end product stream as a sequence of characters.,sink
ObjectOutputStream_write,sink, Writes an array of bytes.,sink
WifiP2pManager_stopPeerDiscovery,neither,stop an on going peer discovery The single valued function call immediately returns after send out a stop asking to the framework.,sink
ColorMatrix_setScale,sink, Set this colormatrix to scale by the specified values.,sink
MessageFormat_setFormat,sink, Sets the format to use for the format element with the given  format element index within the previously set pattern string.,sink
ZoomButtonsController_setZoomInEnabled,sink, Whether to enable the zoom in control.,sink
Log_w,sink, Send a WARN log message and log the exception.,sink
UiModeManager_setNightMode,sink,set the system - all inclusive night fashion.,sink
BackupAgentHelper_onBackup,neither, Run the backup process on each of the configured handlers.,sink
ListFragment_setSelection,sink, Set the currently selected list item to the specified  position with the adapter's data,sink
ObjectOutputStream_writeLong,sink,writes a 64 fleck prospicient.,sink
SQLiteDatabase_setPageSize,sink,sets the database sir frederick handley page size of it.,sink
ShortBuffer_put,sink, Relative bulk put method .,sink
MediaPlayer_setDataSource,sink, Sets the data source  to use.,sink
Log_println,sink,low - stratum log call.,sink
ObjectOutputStream_writeUTF,sink,primitive data write of this String in limited UTF - 8 data formatting.,sink
RandomAccessFile_writeUTF,sink,writes a string to the filing cabinet use modified UTF - 8 encryption in a machine - independent way.,sink
DocumentBuilderFactory_setXIncludeAware,sink, Set state of XInclude processing.,sink
SipManager_open,source, Opens the profile for making generic SIP calls.,sink
MediaRecorder_setAudioEncodingBitRate,sink, Sets the audio encoding bit rate for recording.,sink
ByteBuffer_put,sink, Absolute put method .,sink
MediaRecorder_setVideoEncodingBitRate,sink,sets the video encode fleck rate for recording.,sink
SipManager_setRegistrationListener,sink,sets the auditor to listen to registration case.,sink
DateFormat_setTimeZone,sink,arrange the time zone for the calendar of this DateFormat object.,sink
SSLEngine_setSSLParameters,sink,applies SSLParameters to this locomotive engine.,sink
TextToSpeech_addSpeech,sink, Adds a mapping between a CharSequence  of text  and a sound resource in a package.,sink
EditText_setSelection,sink, Convenience for Selection#setSelection.,sink
WebSettings_setJavaScriptEnabled,sink, Tells the WebView to enable JavaScript execution.,sink
ObjectAnimator_setPropertyName,sink, Sets the name of the property that will be animated.,sink
BackupAgentHelper_onBackup,neither, Run the backup process on each of the configured handlers.,sink
PresetReverb_setPreset,sink,enables a preset on the reverb.,sink
WifiP2pManager_cancelConnect,neither,cancel any ongoing p2p grouping dialogue The purpose song immediately returns after send a connection cancellation request to the framework.,sink
BackupAgentHelper_onRestore,neither, Run the restore process on each of the configured handlers.,sink
PreferenceActivity_startPreferencePanel,sink,take up a new sherd contain a preference panel.,sink
AccountManager_newChooseAccountIntent,sink, Deprecated in favor of newChooseAccountIntent.,sink
SimpleAdapter_setViewImage,sink,called by bindView  to do the image for an ImageView but just if at that place be no exist ViewBinder or if the existing ViewBinder cannot handle binding to an ImageView.,sink
Matrix4f_set,sink, Sets the value for a given row and column,sink
Animator_setTarget,sink,set the target object whose property volition be enliven by this animation.,sink
Writer_write,sink, Writes a string.,sink
SearchView_setIconifiedByDefault,sink, Sets the default or resting state of the search field.,sink
SearchView_setInputType,sink,set the input type on the interrogation text theatre of operations.,sink
ColorMatrix_setRotate,sink,set the gyration on a colour axis by the specified values.,sink
DataOutputStream_writeDouble,sink," Converts the double argument to a long using the  doubleToLongBits method in class Double,  and then writes that long value to the underlying  output stream as an 8-byte quantity, high byte first.",sink
Matrix4f_set,sink,set the value for a given row and column,sink
WebSettings_setLayoutAlgorithm,sink,sets the underlie layout algorithmic rule.,sink
PrintStream_println,sink, Prints a double and then terminate the line.,sink
RandomAccessFile_writeChars,sink,spell a chain to the file as a sequence of persona.,sink
PrintWriter_write,sink, Writes a string.,sink
DrmInfo_put,sink, Adds optional information as key-value pairs to this object.,sink
WifiP2pManager_setServiceResponseListener,neither,register a callback to be invoked on incur divine service find reception.,sink
WifiP2pManager_discoverServices,neither,enlightened armed service discovery.,sink
Toast_setText,sink, Update the text in a Toast that was previously created using one of the makeText methods.,sink
MessageFormat_setFormat,sink, Sets the Format object to use for the format element with the given  format element index within the previously set pattern string.,sink
LocalActivityManager_dispatchPause,sink, Called by the container activity in its Activity#onPause so  that LocalActivityManager can perform the corresponding action on the  activities it holds.,sink
XmlPullParserFactory_setFeature,sink,Set the features to be set when XML Pull Parser is created by this factory.,sink
LocalActivityManager_startActivity,sink, Start a new activity running in the group.,sink
SimpleDateFormat_set2DigitYearStart,sink,sets the 100 - year period 2 - finger years will be interpret as equal in to lead off on the date the user specifies.,sink
Date_setTime,sink, Sets an existing Date object  using the given milliseconds time value.,sink
MediaRecorder_setOrientationHint,sink, Sets the orientation hint for output video playback.,sink
MifareUltralight_setTimeout,sink, Set the transceive timeout in milliseconds.,sink
SQLiteProgram_bindDouble,neither,bind a twofold value to this affirmation.,sink
AccountManager_setAuthToken,sink,lend an auth keepsake to the AccountManager cache for an account.,sink
SipManager_setRegistrationListener,sink,sets the auditor to listen to registration case.,sink
URL_openConnection,sink," Same as openConnection, except that the connection will be  made through the specified proxy; Protocol handlers that do not  support proxing will ignore the proxy parameter and make a  normal connection.",sink
LocalActivityManager_startActivity,sink, Start a new activity running in the group.,sink
Path_setLastPoint,sink, Sets the last point of the path.,sink
Socket_setSoLinger,sink,enable / disable SO_LINGER with the particularize linger fourth dimension in seconds.,sink
AccessibilityRecord_setScrollable,sink,band if the root is scrollable.,sink
PreferenceActivity_startWithFragment,sink, Like startWithFragment  but uses a 0 titleRes.,sink
InputConnectionWrapper_sendKeyEvent,sink,send a key case to the process that be currently attached through with this comment connection.,sink
DecimalFormat_setParseBigDecimal,sink, Whether to make NumberFormat.parse prefer returning a BigDecimal when  possible.,sink
ObjectOutputStream_writeByte,sink, Writes an 8 bit byte.,sink
SecureRandom_setSeed,sink," Reseeds this random object, using the eight bytes contained  in the given long seed.",sink
DecimalFormat_setGroupingSize,sink, Set the grouping size.,sink
MediaRecorder_setVideoEncodingBitRate,sink,sets the video encode fleck rate for recording.,sink
WebSettings_setCacheMode,sink,overrides the room the stash is used.,sink
RandomAccessFile_setLength,sink,congeal the length of this indian file.,sink
DatagramSocket_setSoTimeout,sink,"enable / disable SO_TIMEOUT with the specified timeout, in msec.",sink
LocalActivityManager_dispatchPause,sink,send for by the container activity in its Natural action # onPause so that LocalActivityManager potty perform the corresponding activity on the activities it holds.,sink
Field_setLong,sink,fix the value of a subject as a longsighted on the particularize object.,sink
AccessibilityRecord_setEnabled,sink, Sets if the source is enabled.,sink
URLConnection_setRequestProperty,sink,fix the worldwide request property.,sink
PrintStream_print,sink, Prints a double-precision floating-point number.,sink
GZIPOutputStream_write,sink, Writes array of bytes to the compressed output stream.,sink
MediaRecorder_setProfile,sink, Uses the settings from a CamcorderProfile object for recording.,sink
BackupAgentHelper_onBackup,neither,run the backup process on each of the configured coach.,sink
PrintWriter_println,sink, Terminates the current line by writing the line separator string.,sink
UriMatcher_addURI,sink,"sum up a URI to equalize, and the codification to return when this URI is matched.",sink
KeyChain_choosePrivateKeyAlias,sink,launches an Activeness for the user to choose the alias for a private key and credentials duad for hallmark.,sink
DatagramSocket_setReuseAddress,sink, Enable/disable the SO_REUSEADDR socket option.,sink
PropertyValuesHolder_setObjectValues,sink, Set the animated values for this object to this set of Objects.,sink
ObjectAnimator_setPropertyName,sink,sets the name of the prop that bequeath be renovate.,sink
FileOutputStream_write,sink, Writes len bytes from the specified byte array  starting at offset off to this file output stream.,sink
AccountManager_setUserData,sink, Sets one userdata key for an account.,sink
PrintWriter_print,sink, Prints a long integer.,sink
ValueAnimator_setObjectValues,sink,localise the values to animate between for this invigoration.,sink
AutoCompleteTextView_setDropDownVerticalOffset,sink, Sets the vertical offset used for the auto-complete drop-down list.,sink
ShortBuffer_put,sink, Relative bulk put method .,sink
ObjectOutputStream_writeByte,sink, Writes an 8 bit byte.,sink
DrmManagerClient_saveRights,sink,saves rightfulness to a stipulate path and tie in that way with the contented path.,sink
WebSettings_setMinimumLogicalFontSize,sink,sets the minimum consistent baptistry sizing.,sink
WebSettings_setDefaultFixedFontSize,sink,sets the nonremittal fixed font size of it.,sink
SQLiteProgram_bindAllArgsAsStrings,neither," Given an array of String bindArgs, this method binds all of them in one single call.",sink
ZoomButtonsController_setZoomInEnabled,sink, Whether to enable the zoom in control.,sink
ParserAdapter_setProperty,sink, Set a parser property.,sink
AccountManager_setAuthToken,sink,lend an auth keepsake to the AccountManager cache for an account.,sink
AutoCompleteTextView_setDropDownHeight,sink,coiffure the current acme for the auto - complete cliff devour list.,sink
WifiP2pManager_addLocalService,neither,cash register a local serve for service uncovering.,sink
MediaPlayer_setDataSource,sink, Sets the data source  to use.,sink
WebSettings_setDatabaseEnabled,sink, Sets whether the database storage API is enabled.,sink
LocationManager_addNmeaListener,sink, Adds an NMEA listener.,sink
WebSettings_setJavaScriptEnabled,sink, Tells the WebView to enable JavaScript execution.,sink
AttributedString_addAttribute,sink, Adds an attribute to a subrange of the string.,sink
ImageView_setImageDrawable,sink, Sets a drawable as the content of this ImageView.,sink
WebSettings_setBuiltInZoomControls,sink,set whether the WebView should use its construct - in zoom mechanism.,sink
DatagramSocket_send,sink, Sends a datagram packet from this socket.,sink
MulticastSocket_setTimeToLive,sink, Set the default time-to-live for multicast packets sent out  on this MulticastSocket in order to control the  scope of the multicasts.,sink
Log_d,sink, Send a DEBUG log message.,sink
AlarmManager_setTime,sink,seth the system wall clock clock time.,sink
UiModeManager_enableCarMode,neither," Force device into car mode, like it had been placed in the car dock.",sink
ObjectOutputStream_writeObject,sink, Write the specified object to the ObjectOutputStream.,sink
AudioRecord_setNotificationMarkerPosition,sink," Sets the marker position at which the listener is called, if set with  setRecordPositionUpdateListener or  setRecordPositionUpdateListener.",sink
Preference_setTitle,sink, Sets the title for this Preference with a resource ID.,sink
Adler32_update,sink, Updates the checksum with the specified array of bytes.,sink
DrmManagerClient_saveRights,sink,saves rightfulness to a stipulate path and tie in that way with the contented path.,sink
DecimalFormat_setMinimumFractionDigits,sink, Rounding and Digit Limits: Sets the minimum number of digits to display after  the decimal separator.,sink
DataOutputStream_writeFloat,sink,"convert the ice cream float argument to an int using the floatToIntBits method in category Float, and and then writes that int value to the underlying yield stream as a four - byte amount, high byte first.",sink
Reader_read,source, Reads characters into an array.,sink
PreferenceActivity_startWithFragment,sink," Start a new instance of this activity, showing only the given  preference fragment.",sink
WebSettings_setMediaPlaybackRequiresUserGesture,sink,set whether the WebView requires a user gesture to play media.,sink
IsolatedContext_sendOrderedBroadcast,sink,"broadcast the give intent to all interested BroadcastReceivers, delivering them one at a clip to allow more preferred liquidator to consume the broadcast before it is deliver to less best loved receivers.",sink
PrintWriter_print,sink, Prints an integer.,sink
WifiP2pManager_addLocalService,neither, Register a local service for service discovery.,sink
AudioManager_setBluetoothScoOn,sink,request use of Bluetooth SCO headset for communications.,sink
SearchManager_triggerSearch,sink,interchangeable to startSearch  simply actually raise off the hunting interrogation after raise the search dialog.,sink
BackupAgentHelper_onBackup,neither,run the backup process on each of the configured coach.,sink
KeyStore_setKeyEntry,sink," Assigns the given key to the given alias, protecting it with the given  password.",sink
KeyChain_choosePrivateKeyAlias,sink, Launches an Activity for the user to select the alias  for a private key and certificate pair for authentication.,sink
WebSettings_setDefaultFixedFontSize,sink, Sets the default fixed font size.,sink
WifiP2pManager_requestPeers,source, Request the current list of peers.,sink
SimpleAdapter_setViewImage,sink,called by bindView  to do the image for an ImageView but just if at that place be no exist ViewBinder or if the existing ViewBinder cannot handle binding to an ImageView.,sink
SipAudioCall_setListener,sink, Sets the listener to listen to the audio call events.,sink
Deflater_setInput,sink,sets input data for compression.,sink
WallpaperManager_setStream,sink, Change the current system wallpaper to a specific byte stream.,sink
WebSettings_setCacheMode,sink,overrides the room the stash is used.,sink
ListFragment_setListShownNoAnimation,sink,"like setListShown , just no animation is used when transition from the old state.",sink
WebSettings_setDefaultFixedFontSize,sink, Sets the default fixed font size.,sink
ObjectOutputStream_write,sink, Writes a byte.,sink
ValueAnimator_setFrameDelay,sink," The amount of time, in milliseconds, between each frame of the animation.",sink
ValueAnimator_setDuration,sink, Sets the length of the animation.,sink
ImageView_setImageBitmap,sink,sets a Electronic image as the subject matter of this ImageView.,sink
ZoomButton_setEnabled,sink,set the enabled province of this survey.,sink
LocationManager_sendExtraCommand,sink, Sends additional commands to a location provider.,sink
MediaPlayer_setSurface,sink,sets the Earth's surface to make up utilize as the sink for the television part of the media.,sink
ShareActionProvider_setShareIntent,sink,seth an intent with information about the share legal action.,sink
DrmInfoRequest_put,sink, Adds optional information as key-value pairs to this object.,sink
TextToSpeech_addSpeech,sink, Adds a mapping between a string of text and a sound resource in a  package.,sink
ValidatorHandler_setFeature,sink,exercise set the time value of a feature article flag.,sink
SSLCertificateSocketFactory_setHostname,sink,turns on Waiter Public figure Meter reading  on a given socket.,sink
WebSettings_setStandardFontFamily,sink, Sets the standard font family name.,sink
AssetManager_openXmlResourceParser,source, Retrieve a parser for a compiled XML file.,sink
WifiP2pManager_removeGroup,neither,remove the current p2p group.,sink
ImageView_setImageBitmap,sink,sets a Electronic image as the subject matter of this ImageView.,sink
Preference_notifyDependencyChange,sink, Notifies any listening dependents of a change that affects the  dependency.,sink
ImageView_setVisibility,sink, Set the visibility state of this view.,sink
CollationElementIterator_setText,sink," Set a new source string iterator for iteration, and reset the  offset to the beginning of the text.",sink
LocalActivityManager_dispatchCreate,neither, Restore a state that was previously returned by saveInstanceState.,sink
Calendar_setTime,sink, Sets this Calendar's current time with the given Date.,sink
AttributesImpl_setLocalName,sink, Set the local name of a specific attribute.,sink
SmsManager_sendMultipartTextMessage,sink, Send a multi-part text based SMS.,sink
DatePickerDialog_updateDate,sink,define the current date.,sink
LogPrinter_println,sink,indite a line of products of text to the output.,sink
Log_d,sink, Send a DEBUG log message.,sink
SSLCertificateSocketFactory_setHostname,sink,turns on Waiter Public figure Meter reading  on a given socket.,sink
SQLiteProgram_bindDouble,neither, Bind a double value to this statement.,sink
SSLCertificateSocketFactory_setHostname,sink,turns on Waiter Public figure Meter reading  on a given socket.,sink
MessageFormat_parse,sink, Parses text from the beginning of the given string to produce an object  array.,sink
PrintWriter_write,sink, Writes A Portion of an array of characters.,sink
MediaRecorder_setAudioSamplingRate,sink, Sets the audio sampling rate for recording.,sink
ObjectAnimator_setPropertyName,sink, Sets the name of the property that will be animated.,sink
PrintWriter_println,sink, Prints a boolean value and then terminates the line.,sink
MediaRecorder_setOutputFile,sink, Pass in the file object to be written.,sink
Deflater_setDictionary,sink,set preset dictionary for densification.,sink
DatagramSocket_setSoTimeout,sink,"enable / disable SO_TIMEOUT with the specified timeout, in msec.",sink
DataOutputStream_writeChars,sink, Writes a string to the underlying output stream as a sequence of  characters.,sink
Matrix3f_setsink,sink, Sets the value for a given row and column,sink
WebSettings_setMinimumLogicalFontSize,sink, Sets the minimum logical font size.,sink
WifiP2pManager_discoverPeers,neither,tiro match discovery.,sink
BitSet_set,sink, Sets the bit at the specified index to true.,sink
AccessibilityRecord_setPassword,sink, Sets if the source is a password field.,sink
AnimatorSet_setTarget,sink, Sets the target object for all current child animations  of this AnimatorSet that take targets .,sink
IsolatedContext_sendBroadcast,sink, Broadcast the given intent to all interested BroadcastReceivers.,sink
DataOutputStream_writeChar,sink,"spell a cleaning woman to the underlying yield stream as a 2 - byte time value, high byte first.",sink
ImageView_setVisibility,sink, Set the visibility state of this view.,sink
WifiP2pManager_addLocalService,neither,cash register a local serve for service uncovering.,sink
ViewStub_setVisibility,sink,"when visibility is set to Opinion. VISIBLE oregon View. INVISIBLE, inflate  embody invoked and this StubbedView is replaced in it parent by the high flown layout resource.",sink
NfcA_setTimeout,sink,curing the transceive  timeout in millisecond.,sink
ValueAnimator_setFrameDelay,sink," The amount of time, in milliseconds, between each frame of the animation.",sink
Matrix4f_set,sink, Sets the value for a given row and column,sink
WebSettings_setDefaultFontSize,sink,sets the default option font size.,sink
CharArrayWriter_append,sink, Appends the specified character to this writer.,sink
Log_v,sink, Send a VERBOSE log message.,sink
AudioGroup_sendDtmf,sink,sends a DTMF figure to every AudioStream in this group.,sink
PrintStream_println,sink, Prints a character and then terminate the line.,sink
ImageView_setImageAlpha,sink, Sets the alpha value that should be applied to the image.,sink
AudioManager_setStreamVolume,sink,set the loudness index for a picky stream.,sink
WifiP2pManager_removeGroup,neither, Remove the current p2p group.,sink
DateFormatSymbols_setAmPmStrings,sink, Sets am/pm strings.,sink
XmlPullParserFactory_setFeature,sink,curing the features to be set when XML Drag Parser is created by this factory.,sink
Socket_setSoTimeout,sink,"enable / disable SO_TIMEOUT with the specified timeout, in msec.",sink
IsoDep_setTimeout,sink, Set the timeout of transceive in milliseconds.,sink
Preference_setSummary,sink, Sets the summary for this Preference with a CharSequence.,sink
PipedOutputStream_write,sink, Writes len bytes from the specified byte array  starting at offset off to this piped output stream.,sink
SipManager_setRegistrationListener,sink, Sets the listener to listen to registration events.,sink
MulticastSocket_setLoopbackMode,sink, Disable/Enable local loopback of multicast datagrams  The option is used by the platform's networking code as a hint  for setting whether multicast data will be looped back to  the local socket.,sink
BufferedOutputStream_write,sink, Writes the specified byte to this buffered output stream.,sink
ObjectOutputStream_writeBoolean,sink, Writes a boolean.,sink
ObjectOutputStream_writeShort,sink, Writes a 16 bit short.,sink
RandomAccessFile_write,sink, Writes the specified byte to this file.,sink
ObjectAnimator_setDuration,sink, Sets the length of the animation.,sink
WebSettings_setCacheMode,sink, Overrides the way the cache is used.,sink
NsdManager_discoverServices,sink, Initiate service discovery to browse for instances of a service type.,sink
PrintWriter_write,sink, Writes a single character.,sink
ObjectOutputStream_writeShort,sink, Writes a 16 bit short.,sink
AutoCompleteTextView_setDropDownHorizontalOffset,sink, Sets the horizontal offset used for the auto-complete drop-down list.,sink
InputConnectionWrapper_sendKeyEvent,sink,send a key case to the process that be currently attached through with this comment connection.,sink
TrafficStats_setThreadStatsTag,sink,band active tag to use when accounting Socket traffic develop from the current thread.,sink
MifareUltralight_setTimeout,sink,solidification the transceive  timeout in milliseconds.,sink
SearchManager_triggerSearch,sink,interchangeable to startSearch  simply actually raise off the hunting interrogation after raise the search dialog.,sink
Log_wtf,sink, What a Terrible Failure: Report a condition that should never happen.,sink
DateFormatSymbols_setWeekdays,sink, Sets weekday strings.,sink
Deflater_setInput,sink,sets input data for compression.,sink
ClassLoader_setDefaultAssertionStatus,sink, Sets the default assertion status for this class loader.,sink
AnimatorSet_setTarget,sink,fix the fair game physical object for all current child vivification of this AnimatorSet that take targets .,sink
Calendar_set,sink, Sets the given calendar field to the given value.,sink
ObjectAnimator_setDuration,sink, Sets the length of the animation.,sink
ZoomButtonsController_setZoomInEnabled,sink, Whether to enable the zoom in control.,sink
WebSettings_setDisplayZoomControls,sink,sets whether the WebView should expose on - concealment rapid growth controls when practice the built - in zoom mechanisms.,sink
Deflater_setInput,sink, Sets input data for compression.,sink
Calendar_setTime,sink, Sets this Calendar's current time with the given Date.,sink
KeyStore_setCertificateEntry,sink,assigns the given trust certificate to the given false name.,sink
BreakIterator_setText,sink, Set a new text for scanning.,sink
PrintStream_print,sink, Prints an integer.,sink
ThreadGroup_setMaxPriority,sink, Sets the maximum priority of the group.,sink
PrintWriter_println,sink, Prints a floating-point number and then terminates the line.,sink
AccessibilityRecord_setPassword,sink, Sets if the source is a password field.,sink
Socket_setSendBufferSize,sink, Sets the SO_SNDBUF option to the  specified value for this Socket.,sink
SipAudioCall_setListener,sink,sets the listener to listen to the sound birdcall outcome.,sink
SmsManager_sendMultipartTextMessage,sink, Send a multi-part text based SMS.,sink
ServerSocket_setSoTimeout,sink," Enable/disable SO_TIMEOUT with the  specified timeout, in milliseconds.",sink
SmsManager_sendMultipartTextMessage,sink, Send a multi-part text based SMS.,sink
MulticastSocket_setTimeToLive,sink, Set the default time-to-live for multicast packets sent out  on this MulticastSocket in order to control the  scope of the multicasts.,sink
ColorMatrix_set,sink," Assign the src colormatrix into this matrix, copying all of its values.",sink
WebSettings_setMinimumFontSize,sink, Sets the minimum font size.,sink
AutoCompleteTextView_onCommitCompletion,neither," Called by the framework in response to a text completion from  the current input method, provided by it calling  InputConnection.commitCompletion.",sink
DecimalFormat_setDecimalFormatSymbols,sink, Sets the decimal format symbols used by this formatter.,sink
TextureView_setTransform,sink, Sets the transform to associate with this texture view.,sink
SSLEngine_setSSLParameters,sink, Applies SSLParameters to this engine.,sink
Field_setBoolean,sink, Sets the value of a field as a boolean on the specified object.,sink
RandomAccessFile_setLength,sink,congeal the length of this indian file.,sink
URLSpan_onClick,neither, Performs the click action associated with this span.,sink
InstrumentationTestCase_launchActivityWithIntent,sink, Utility method for launching an activity with a specific Intent.,sink
WifiP2pManager_addLocalService,neither, Register a local service for service discovery.,sink
PreferenceActivity_onPreferenceStartFragment,neither, Called when the user has clicked on a Preference that has  a fragment class name associated with it.,sink
DatePicker_setMinDate,sink,"set up the minimal date corroborate by this DatePicker in milliseconds since Jan unity, 1970 00: 00: 00 in TimeZone. getDefault  metre zone.",sink
PrintStream_println,sink, Prints a character and then terminate the line.,sink
ValueAnimator_setObjectValues,sink,localise the values to animate between for this invigoration.,sink
BackupDataOutput_writeEntityData,sink,write a clod of data under the current entity to the backup ecstasy.,sink
MediaPlayer_setSurface,sink,sets the Earth's surface to make up utilize as the sink for the television part of the media.,sink
ObjectOutputStream_writeObject,sink,write the specified object to the ObjectOutputStream.,sink
SearchView_setImeOptions,sink, Sets the IME options on the query text field.,sink
TextToSpeech_addEarcon,sink, Adds a mapping between a string of text and a sound resource in a  package.,sink
WebSettings_setSansSerifFontFamily,sink,sets the sans - serif font family public figure.,sink
DecimalFormatSymbols_setInternationalCurrencySymbol,sink, Sets the international string denoting the local currency.,sink
ObjectOutputStream_writeUnshared,sink," Writes an ""unshared"" object to the ObjectOutputStream.",sink
ErrorManager_error,neither,the error method is holler when a Animal trainer failure go on.,sink
TextToSpeech_setSpeechRate,sink, Sets the speech rate.,sink
ValueAnimator_setFloatValues,sink, Sets float values that will be animated between.,sink
KeyChain_choosePrivateKeyAlias,sink, Launches an Activity for the user to select the alias  for a private key and certificate pair for authentication.,sink
URLConnection_setDefaultUseCaches,sink, Sets the default value of the useCaches field to the  specified value.,sink
BitSet_set,sink, Sets the bit at the specified index to the specified value.,sink
Adler32_update,sink, Updates the checksum with the specified array of bytes.,sink
WebSettings_setBuiltInZoomControls,sink,set whether the WebView should use its construct - in zoom mechanism.,sink
ByteBuffer_put,sink, Relative put method .,sink
InstrumentationTestCase_sendKeys,sink,sends a series of fundamental case through instrumentation and wait for idle.,sink
SurfaceView_setZOrderMediaOverlay,sink, Control whether the surface view's surface is placed on top of another  regular surface view in the window .,sink
SimpleDateFormat_set2DigitYearStart,sink, Sets the 100-year period 2-digit years will be interpreted as being in  to begin on the date the user specifies.,sink
ColorMatrix_setScale,sink,set this colormatrix to surmount by the specified values.,sink
AnimatorSet_setDuration,sink, Sets the length of each of the current child animations of this AnimatorSet.,sink
XmlPullParserFactory_setFeature,sink,curing the features to be set when XML Drag Parser is created by this factory.,sink
BackupAgentHelper_onBackup,neither, Run the backup process on each of the configured handlers.,sink
WebSettings_setBlockNetworkImage,sink, Sets whether the WebView should not load image resources from the  network .,sink
Random_setSeed,sink,specify the cum of this random numeral generator use a individual long seed.,sink
UiModeManager_enableCarMode,neither,"force device into gondola mode, similar information technology get been placed in the car dock.",sink
CookieManager_setAcceptCookie,sink, Sets whether the application's WebView instances should send and  accept cookies.,sink
SQLiteDatabase_openOrCreateDatabase,sink," Equivalent to openDatabase(file.getPath, factory, CREATE_IF_NECESSARY).",sink
XmlPullParserFactory_setNamespaceAware,sink, Specifies that the parser produced by this factory will provide  support for XML namespaces.,sink
Socket_setPerformancePreferences,sink, Sets performance preferences for this socket.,sink
WifiP2pManager_requestConnectionInfo,source, Request device connection info.,sink
OutputStream_write,sink,Writes b.length bytes from the specified byte array  to this output stream.,sink
